Date,WHEAT_ICE
2000-01-05 00:00:00+00:00,0.00526732
2000-01-06 00:00:00+00:00,-0.00380827
2000-01-07 00:00:00+00:00,0.00197368
2000-01-10 00:00:00+00:00,-0.01655716
2000-01-11 00:00:00+00:00,-0.01378579
2000-01-12 00:00:00+00:00,-0.01869159
2000-01-13 00:00:00+00:00,0.00538721
2000-01-14 00:00:00+00:00,0.00000000
2000-01-17 00:00:00+00:00,0.00000000
2000-01-18 00:00:00+00:00,-0.01344086
2000-01-19 00:00:00+00:00,-0.01082544
2000-01-20 00:00:00+00:00,-0.00680272
2000-01-21 00:00:00+00:00,0.01228669
2000-01-24 00:00:00+00:00,-0.01634119
2000-01-25 00:00:00+00:00,0.01367054
2000-01-26 00:00:00+00:00,0.00000000
2000-01-27 00:00:00+00:00,-0.01765105
2000-01-28 00:00:00+00:00,0.00000000
2000-01-31 00:00:00+00:00,-0.07191781
2000-02-01 00:00:00+00:00,-0.01107011
2000-02-02 00:00:00+00:00,0.01930215
2000-02-03 00:00:00+00:00,0.01767305
2000-02-04 00:00:00+00:00,-0.01459854
2000-02-07 00:00:00+00:00,0.00955882
2000-02-08 00:00:00+00:00,-0.00366300
2000-02-09 00:00:00+00:00,0.01012472
2000-02-10 00:00:00+00:00,0.00087591
2000-02-11 00:00:00+00:00,0.01678832
2000-02-14 00:00:00+00:00,-0.02169197
2000-02-15 00:00:00+00:00,-0.01675164
2000-02-16 00:00:00+00:00,-0.00732601
2000-02-17 00:00:00+00:00,-0.01691176
2000-02-18 00:00:00+00:00,0.00148699
2000-02-21 00:00:00+00:00,0.00519288
2000-02-22 00:00:00+00:00,0.02140221
2000-02-23 00:00:00+00:00,0.00364964
2000-02-24 00:00:00+00:00,-0.02051282
2000-02-25 00:00:00+00:00,-0.02750929
2000-02-28 00:00:00+00:00,-0.02272727
2000-02-29 00:00:00+00:00,0.01915709
2000-03-01 00:00:00+00:00,0.01292776
2000-03-02 00:00:00+00:00,0.00000000
