Date,ETHANOL
2005-05-18 00:00:00+00:00,-0.01694915
2005-05-19 00:00:00+00:00,0.00000000
2005-05-20 00:00:00+00:00,0.00000000
2005-05-23 00:00:00+00:00,0.01709402
2005-05-24 00:00:00+00:00,0.01694915
2005-05-25 00:00:00+00:00,0.01680672
2005-05-26 00:00:00+00:00,0.00000000
2005-05-27 00:00:00+00:00,0.00000000
2005-05-31 00:00:00+00:00,0.00000000
2005-06-01 00:00:00+00:00,0.01666667
2005-06-02 00:00:00+00:00,0.01652893
2005-06-03 00:00:00+00:00,0.00000000
2005-06-06 00:00:00+00:00,0.00000000
2005-06-07 00:00:00+00:00,0.03278689
2005-06-08 00:00:00+00:00,0.00000000
2005-06-09 00:00:00+00:00,-0.00000005
2005-06-10 00:00:00+00:00,0.00000000
2005-06-13 00:00:00+00:00,0.00000000
2005-06-14 00:00:00+00:00,0.00000000
2005-06-15 00:00:00+00:00,0.00000000
2005-06-16 00:00:00+00:00,0.04032258
2005-06-17 00:00:00+00:00,0.01550388
2005-06-20 00:00:00+00:00,0.10000000
2005-06-21 00:00:00+00:00,0.00000000
2005-06-22 00:00:00+00:00,0.05128205
2005-06-23 00:00:00+00:00,0.05714286
2005-06-24 00:00:00+00:00,0.00000000
2005-06-27 00:00:00+00:00,0.00000000
2005-06-28 00:00:00+00:00,0.00000000
2005-06-29 00:00:00+00:00,0.06944444
2005-06-30 00:00:00+00:00,-0.02684564
2005-07-01 00:00:00+00:00,0.01360544
2005-07-05 00:00:00+00:00,0.01351351
2005-07-06 00:00:00+00:00,0.00000000
2005-07-07 00:00:00+00:00,0.08053691
2005-07-08 00:00:00+00:00,0.05161290
2005-07-11 00:00:00+00:00,0.03773580
2005-07-12 00:00:00+00:00,0.03703704
2005-07-13 00:00:00+00:00,0.00000000
2005-07-14 00:00:00+00:00,-0.02424242
2005-07-15 00:00:00+00:00,-0.01226994
2005-07-18 00:00:00+00:00,0.01851852
2005-07-19 00:00:00+00:00,0.04848485
2005-07-20 00:00:00+00:00,0.02352941
2005-07-21 00:00:00+00:00,-0.07058824
2005-07-22 00:00:00+00:00,0.00000000
2005-07-25 00:00:00+00:00,0.05454545
2005-07-26 00:00:00+00:00,-0.04022989
2005-07-27 00:00:00+00:00,0.00000000
2005-07-28 00:00:00+00:00,0.00000000
2005-07-29 00:00:00+00:00,0.00000000
2005-08-01 00:00:00+00:00,0.04790419
2005-08-02 00:00:00+00:00,-0.02312139
2005-08-03 00:00:00+00:00,0.04678363
2005-08-04 00:00:00+00:00,0.02332362
2005-08-05 00:00:00+00:00,0.00862069
2005-08-08 00:00:00+00:00,0.03438395
2005-08-09 00:00:00+00:00,-0.01704545
2005-08-10 00:00:00+00:00,0.02848998
2005-08-11 00:00:00+00:00,0.04225352
2005-08-12 00:00:00+00:00,0.06318681
2005-08-15 00:00:00+00:00,0.02680965
2005-08-16 00:00:00+00:00,0.03183024
2005-08-17 00:00:00+00:00,-0.03655352
2005-08-18 00:00:00+00:00,0.04336043
2005-08-19 00:00:00+00:00,0.01322751
2005-08-22 00:00:00+00:00,0.00789474
2005-08-23 00:00:00+00:00,0.00520833
2005-08-24 00:00:00+00:00,0.01036269
2005-08-25 00:00:00+00:00,-0.01291990
2005-08-26 00:00:00+00:00,0.00260417
2005-08-29 00:00:00+00:00,0.04166667
2005-08-30 00:00:00+00:00,0.06683805
2005-08-31 00:00:00+00:00,0.14215686
2005-09-01 00:00:00+00:00,0.13698630
2005-09-02 00:00:00+00:00,0.00000000
2005-09-06 00:00:00+00:00,-0.02953586
2005-09-07 00:00:00+00:00,-0.02127660
2005-09-08 00:00:00+00:00,-0.02320675
2005-09-09 00:00:00+00:00,0.00631574
2005-09-12 00:00:00+00:00,-0.00632911
2005-09-13 00:00:00+00:00,-0.02340426
2005-09-14 00:00:00+00:00,-0.01492537
2005-09-15 00:00:00+00:00,-0.04068522
2005-09-16 00:00:00+00:00,-0.17030568
2005-09-19 00:00:00+00:00,0.02894737
2005-09-20 00:00:00+00:00,0.03076923
2005-09-21 00:00:00+00:00,0.00000000
2005-09-22 00:00:00+00:00,0.06329114
2005-09-23 00:00:00+00:00,-0.06097561
2005-09-26 00:00:00+00:00,0.03414634
2005-09-27 00:00:00+00:00,0.00000000
2005-09-28 00:00:00+00:00,0.06341463
2005-09-29 00:00:00+00:00,0.02293578
2005-09-30 00:00:00+00:00,-0.00224719
2005-10-03 00:00:00+00:00,0.01131222
2005-10-04 00:00:00+00:00,0.00000000
2005-10-05 00:00:00+00:00,0.00000000
2005-10-06 00:00:00+00:00,-0.04090909
2005-10-07 00:00:00+00:00,0.00829493
2005-10-10 00:00:00+00:00,-0.00690290
2005-10-11 00:00:00+00:00,-0.00369862
2005-10-12 00:00:00+00:00,-0.01620370
2005-10-13 00:00:00+00:00,-0.01411765
2005-10-14 00:00:00+00:00,-0.10426540
2005-10-17 00:00:00+00:00,0.04532020
2005-10-18 00:00:00+00:00,-0.06265417
2005-10-19 00:00:00+00:00,0.00000000
2005-10-20 00:00:00+00:00,0.02972973
2005-10-21 00:00:00+00:00,-0.01052632
2005-10-24 00:00:00+00:00,-0.01842105
2005-10-25 00:00:00+00:00,0.04594595
2005-10-26 00:00:00+00:00,0.06068602
2005-10-27 00:00:00+00:00,-0.01025641
2005-10-28 00:00:00+00:00,0.06217617
2005-10-31 00:00:00+00:00,-0.01951220
2005-11-01 00:00:00+00:00,0.02216749
2005-11-02 00:00:00+00:00,0.00000000
2005-11-03 00:00:00+00:00,-0.01470588
2005-11-04 00:00:00+00:00,0.00000000
2005-11-07 00:00:00+00:00,-0.01492537
2005-11-08 00:00:00+00:00,-0.00496278
2005-11-09 00:00:00+00:00,0.01496254
