Date,EU-DJ-TELECOM
2014-06-18 00:00:00+00:00,0.00864074
2014-06-19 00:00:00+00:00,0.00527183
2014-06-20 00:00:00+00:00,-0.01048836
2014-06-23 00:00:00+00:00,-0.00563100
2014-06-24 00:00:00+00:00,-0.00133245
2014-06-25 00:00:00+00:00,-0.01434290
2014-06-26 00:00:00+00:00,0.01150592
2014-06-27 00:00:00+00:00,0.00635664
2014-06-30 00:00:00+00:00,-0.00099734
2014-07-01 00:00:00+00:00,0.00532446
2014-07-02 00:00:00+00:00,-0.01125455
2014-07-03 00:00:00+00:00,0.00770003
2014-07-04 00:00:00+00:00,-0.00132890
2014-07-07 00:00:00+00:00,-0.00798403
2014-07-08 00:00:00+00:00,-0.01475520
2014-07-09 00:00:00+00:00,0.00068074
2014-07-10 00:00:00+00:00,-0.00102041
2014-07-11 00:00:00+00:00,-0.00817160
2014-07-14 00:00:00+00:00,0.00755235
2014-07-15 00:00:00+00:00,0.00170358
2014-07-16 00:00:00+00:00,-0.00102041
2014-07-17 00:00:00+00:00,0.00170242
2014-07-18 00:00:00+00:00,-0.00067981
2014-07-21 00:00:00+00:00,-0.00272109
2014-07-22 00:00:00+00:00,0.01125512
2014-07-23 00:00:00+00:00,0.00236088
2014-07-24 00:00:00+00:00,0.00201884
2014-07-25 00:00:00+00:00,0.00402955
2014-07-28 00:00:00+00:00,0.00066890
2014-07-29 00:00:00+00:00,-0.00434492
2014-07-30 00:00:00+00:00,0.00939913
2014-07-31 00:00:00+00:00,-0.01563020
2014-08-01 00:00:00+00:00,-0.01250000
2014-08-04 00:00:00+00:00,0.00136846
2014-08-05 00:00:00+00:00,-0.00409976
2014-08-06 00:00:00+00:00,-0.00720412
2014-08-07 00:00:00+00:00,-0.01140290
2014-08-08 00:00:00+00:00,-0.01223348
2014-08-11 00:00:00+00:00,0.00990800
2014-08-12 00:00:00+00:00,-0.00175193
2014-08-13 00:00:00+00:00,0.00772201
2014-08-14 00:00:00+00:00,-0.00383142
2014-08-15 00:00:00+00:00,-0.00209790
2014-08-18 00:00:00+00:00,0.01261388
2014-08-19 00:00:00+00:00,0.00311419
2014-08-20 00:00:00+00:00,0.00103484
2014-08-21 00:00:00+00:00,0.00792557
2014-08-22 00:00:00+00:00,0.00136752
2014-08-25 00:00:00+00:00,0.01229088
2014-08-26 00:00:00+00:00,-0.00236088
2014-08-27 00:00:00+00:00,0.00777552
2014-08-28 00:00:00+00:00,0.00637370
2014-08-29 00:00:00+00:00,-0.00466667
2014-09-01 00:00:00+00:00,-0.00267917
2014-09-02 00:00:00+00:00,-0.00268637
2014-09-03 00:00:00+00:00,0.00437710
2014-09-04 00:00:00+00:00,0.00838082
2014-09-05 00:00:00+00:00,-0.00267957
2014-09-08 00:00:00+00:00,-0.00500000
2014-09-09 00:00:00+00:00,-0.00201005
2014-09-10 00:00:00+00:00,-0.00100705
2014-09-11 00:00:00+00:00,-0.00302419
2014-09-12 00:00:00+00:00,-0.00775194
2014-09-15 00:00:00+00:00,-0.00543478
2014-09-17 00:00:00+00:00,0.00375683
2014-09-18 00:00:00+00:00,0.01020755
2014-09-19 00:00:00+00:00,0.01212529
2014-09-22 00:00:00+00:00,-0.00665557
2014-09-23 00:00:00+00:00,-0.01072027
2014-09-24 00:00:00+00:00,0.01286827
2014-09-25 00:00:00+00:00,-0.00534938
2014-09-26 00:00:00+00:00,0.00605042
2014-09-29 00:00:00+00:00,-0.00334113
2014-09-30 00:00:00+00:00,0.00335233
2014-10-01 00:00:00+00:00,-0.00701637
2014-10-02 00:00:00+00:00,-0.02187079
2014-10-03 00:00:00+00:00,0.01031992
2014-10-06 00:00:00+00:00,-0.00136193
2014-10-07 00:00:00+00:00,-0.00852370
2014-10-08 00:00:00+00:00,-0.00618982
2014-10-09 00:00:00+00:00,-0.01557093
2014-10-10 00:00:00+00:00,-0.00949033
2014-10-13 00:00:00+00:00,-0.00993612
2014-10-14 00:00:00+00:00,0.00788530
2014-10-15 00:00:00+00:00,-0.04125178
2014-10-16 00:00:00+00:00,-0.00704748
2014-10-17 00:00:00+00:00,0.01979828
2014-10-20 00:00:00+00:00,0.00366300
2014-10-21 00:00:00+00:00,0.02116788
2014-10-22 00:00:00+00:00,-0.00142959
2014-10-23 00:00:00+00:00,-0.00071582
2014-10-24 00:00:00+00:00,0.02829513
2014-10-27 00:00:00+00:00,-0.00661790
2014-10-28 00:00:00+00:00,0.02734923
2014-10-29 00:00:00+00:00,0.00580205
2014-10-30 00:00:00+00:00,0.00373261
2014-10-31 00:00:00+00:00,0.01419878
2014-11-03 00:00:00+00:00,-0.00333333
2014-11-04 00:00:00+00:00,-0.01036789
2014-11-05 00:00:00+00:00,0.02365664
2014-11-06 00:00:00+00:00,-0.00693298
2014-11-07 00:00:00+00:00,-0.00465426
2014-11-10 00:00:00+00:00,0.00567802
2014-11-11 00:00:00+00:00,0.02391232
2014-11-12 00:00:00+00:00,-0.00583847
2014-11-13 00:00:00+00:00,0.00489396
2014-11-14 00:00:00+00:00,0.00162338
2014-11-17 00:00:00+00:00,0.01296596
2014-11-18 00:00:00+00:00,0.00128000
2014-11-19 00:00:00+00:00,0.00255673
2014-11-20 00:00:00+00:00,0.00095633
2014-11-21 00:00:00+00:00,0.01974522
2014-11-24 00:00:00+00:00,0.00405996
2014-11-25 00:00:00+00:00,0.00031104
2014-11-26 00:00:00+00:00,0.00559701
2014-11-27 00:00:00+00:00,0.00432900
2014-11-28 00:00:00+00:00,0.01354680
2014-12-01 00:00:00+00:00,-0.00911300
2014-12-02 00:00:00+00:00,0.00551809
2014-12-03 00:00:00+00:00,0.00335366
2014-12-04 00:00:00+00:00,-0.00881191
2014-12-05 00:00:00+00:00,0.02789700
2014-12-08 00:00:00+00:00,-0.00387712
2014-12-09 00:00:00+00:00,-0.02876251
2014-12-10 00:00:00+00:00,0.02805179
2014-12-11 00:00:00+00:00,-0.02878561
2014-12-12 00:00:00+00:00,-0.03118246
2014-12-15 00:00:00+00:00,0.05672403
2014-12-16 00:00:00+00:00,0.00642674
2014-12-17 00:00:00+00:00,0.00000000
2014-12-18 00:00:00+00:00,0.02554278
2014-12-19 00:00:00+00:00,-0.00217933
2014-12-22 00:00:00+00:00,0.00624025
2014-12-23 00:00:00+00:00,0.00589147
2014-12-29 00:00:00+00:00,-0.00277435
2014-12-30 00:00:00+00:00,-0.01391036
2015-01-02 00:00:00+00:00,-0.00438871
2015-01-05 00:00:00+00:00,-0.02739295
2015-01-06 00:00:00+00:00,-0.00582713
2015-01-07 00:00:00+00:00,0.00748942
2015-01-08 00:00:00+00:00,0.03555268
2015-01-09 00:00:00+00:00,-0.01591760
2015-01-12 00:00:00+00:00,0.01522360
2015-01-13 00:00:00+00:00,0.01655733
2015-01-14 00:00:00+00:00,-0.00399508
2015-01-15 00:00:00+00:00,0.01882135
2015-01-16 00:00:00+00:00,0.00908540
2015-01-19 00:00:00+00:00,0.00720288
2015-01-20 00:00:00+00:00,0.00834327
2015-01-21 00:00:00+00:00,0.01329787
2015-01-22 00:00:00+00:00,0.01283173
2015-01-23 00:00:00+00:00,0.02649007
2015-01-26 00:00:00+00:00,0.00140252
2015-01-27 00:00:00+00:00,-0.01092437
2015-01-28 00:00:00+00:00,0.00396488
2015-01-29 00:00:00+00:00,0.00564175
2015-01-30 00:00:00+00:00,-0.01093969
2015-02-02 00:00:00+00:00,-0.01020987
2015-02-03 00:00:00+00:00,0.01547278
2015-02-04 00:00:00+00:00,0.00366817
2015-02-05 00:00:00+00:00,0.00281136
2015-02-06 00:00:00+00:00,0.00504626
2015-02-09 00:00:00+00:00,-0.01422594
2015-02-10 00:00:00+00:00,0.01386531
2015-02-11 00:00:00+00:00,-0.00223277
2015-02-12 00:00:00+00:00,0.00307692
2015-02-13 00:00:00+00:00,0.00083659
2015-02-16 00:00:00+00:00,0.00027863
2015-02-17 00:00:00+00:00,-0.00417827
2015-02-18 00:00:00+00:00,-0.00699301
2015-02-19 00:00:00+00:00,0.00591549
2015-02-20 00:00:00+00:00,0.00700084
2015-02-23 00:00:00+00:00,0.11067853
2015-02-24 00:00:00+00:00,0.00194013
2015-02-25 00:00:00+00:00,0.00027663
2015-02-26 00:00:00+00:00,0.01493363
2015-02-27 00:00:00+00:00,0.01989101
2015-03-02 00:00:00+00:00,0.00244167
2015-03-03 00:00:00+00:00,-0.00784844
2015-03-04 00:00:00+00:00,0.01254774
2015-03-05 00:00:00+00:00,0.00404858
2015-03-06 00:00:00+00:00,0.00293699
2015-03-09 00:00:00+00:00,-0.01193382
2015-03-10 00:00:00+00:00,-0.00850947
2015-03-11 00:00:00+00:00,0.01937984
2015-03-12 00:00:00+00:00,-0.01086366
2015-03-13 00:00:00+00:00,-0.01767265
