Date,CORN
2000-01-04 00:00:00+00:00,0.00971922
2000-01-05 00:00:00+00:00,0.00537634
2000-01-06 00:00:00+00:00,0.00751073
2000-01-07 00:00:00+00:00,0.02350427
2000-01-10 00:00:00+00:00,0.01478353
2000-01-11 00:00:00+00:00,-0.00419287
2000-01-12 00:00:00+00:00,0.06302521
2000-01-13 00:00:00+00:00,0.03669725
2000-01-14 00:00:00+00:00,-0.00501505
2000-01-18 00:00:00+00:00,0.00502513
2000-01-19 00:00:00+00:00,0.01503006
2000-01-20 00:00:00+00:00,-0.00398010
2000-01-21 00:00:00+00:00,0.01296112
2000-01-24 00:00:00+00:00,0.02475248
2000-01-25 00:00:00+00:00,0.00293830
2000-01-26 00:00:00+00:00,-0.03128055
2000-01-27 00:00:00+00:00,0.02085402
2000-01-28 00:00:00+00:00,-0.01571709
2000-01-31 00:00:00+00:00,-0.03267327
2000-02-01 00:00:00+00:00,0.02112676
2000-02-02 00:00:00+00:00,-0.00298805
2000-02-03 00:00:00+00:00,-0.01696607
2000-02-04 00:00:00+00:00,0.01708543
2000-02-07 00:00:00+00:00,0.01494024
2000-02-08 00:00:00+00:00,-0.00296443
2000-02-09 00:00:00+00:00,0.00692384
2000-02-10 00:00:00+00:00,0.01875617
2000-02-11 00:00:00+00:00,-0.02641879
2000-02-14 00:00:00+00:00,0.00594648
2000-02-15 00:00:00+00:00,0.00098814
2000-02-16 00:00:00+00:00,0.00888450
2000-02-17 00:00:00+00:00,-0.00786627
2000-02-18 00:00:00+00:00,-0.00592300
2000-02-22 00:00:00+00:00,-0.00693069
2000-02-23 00:00:00+00:00,-0.03972195
2000-02-24 00:00:00+00:00,0.00911854
2000-02-25 00:00:00+00:00,-0.02016129
2000-02-28 00:00:00+00:00,-0.00101937
2000-02-29 00:00:00+00:00,0.03156823
2000-03-01 00:00:00+00:00,-0.00900901
2000-03-02 00:00:00+00:00,0.00301811
2000-03-03 00:00:00+00:00,0.01407035
2000-03-06 00:00:00+00:00,0.02295409
2000-03-07 00:00:00+00:00,-0.02865613
2000-03-08 00:00:00+00:00,0.00702106
2000-03-09 00:00:00+00:00,0.01498501
2000-03-10 00:00:00+00:00,-0.00297324
2000-03-13 00:00:00+00:00,0.02976190
2000-03-14 00:00:00+00:00,0.04985337
2000-03-15 00:00:00+00:00,-0.01528176
2000-03-16 00:00:00+00:00,-0.00866218
2000-03-17 00:00:00+00:00,0.04061896
2000-03-20 00:00:00+00:00,-0.03507109
2000-03-21 00:00:00+00:00,-0.02314368
2000-03-22 00:00:00+00:00,0.01851852
2000-03-23 00:00:00+00:00,-0.02801932
2000-03-24 00:00:00+00:00,0.01371205
2000-03-27 00:00:00+00:00,0.00485909
2000-03-28 00:00:00+00:00,-0.05339806
2000-03-29 00:00:00+00:00,0.01293532
2000-03-30 00:00:00+00:00,0.04451039
2000-03-31 00:00:00+00:00,0.02131783
2000-04-03 00:00:00+00:00,-0.01055662
2000-04-04 00:00:00+00:00,-0.01348748
2000-04-05 00:00:00+00:00,0.00096899
