Date,PALLAD
2000-01-05 00:00:00+00:00,-0.01889568
2000-01-06 00:00:00+00:00,-0.01392376
2000-01-07 00:00:00+00:00,0.03951298
2000-01-10 00:00:00+00:00,0.03626943
2000-01-11 00:00:00+00:00,-0.01128443
2000-01-12 00:00:00+00:00,0.01268358
2000-01-13 00:00:00+00:00,-0.02321725
2000-01-14 00:00:00+00:00,-0.02684564
2000-01-18 00:00:00+00:00,-0.01043084
2000-01-19 00:00:00+00:00,0.02188284
2000-01-20 00:00:00+00:00,0.03929983
2000-01-21 00:00:00+00:00,0.02557007
2000-01-24 00:00:00+00:00,0.05589587
2000-01-25 00:00:00+00:00,0.03402446
2000-01-26 00:00:00+00:00,-0.02766180
2000-01-27 00:00:00+00:00,0.04608051
2000-01-28 00:00:00+00:00,0.01252588
2000-01-31 00:00:00+00:00,-0.00493929
2000-02-01 00:00:00+00:00,0.03393852
2000-02-02 00:00:00+00:00,0.03938686
2000-02-03 00:00:00+00:00,0.04698855
2000-02-04 00:00:00+00:00,0.04357553
2000-02-07 00:00:00+00:00,0.06152381
2000-02-08 00:00:00+00:00,0.14383435
2000-02-09 00:00:00+00:00,0.03656433
2000-02-10 00:00:00+00:00,-0.03439803
2000-02-11 00:00:00+00:00,0.06413793
2000-02-14 00:00:00+00:00,0.02137430
2000-02-15 00:00:00+00:00,0.16878613
2000-02-16 00:00:00+00:00,0.15128731
2000-02-17 00:00:00+00:00,-0.01012445
2000-02-18 00:00:00+00:00,-0.01218907
2000-02-22 00:00:00+00:00,0.33098039
2000-02-23 00:00:00+00:00,-0.23707853
2000-02-24 00:00:00+00:00,-0.05861111
2000-02-25 00:00:00+00:00,-0.02265558
2000-02-28 00:00:00+00:00,0.09419448
2000-02-29 00:00:00+00:00,-0.01552967
2000-03-01 00:00:00+00:00,-0.07633803
2000-03-02 00:00:00+00:00,-0.07028848
2000-03-03 00:00:00+00:00,-0.02701472
2000-03-06 00:00:00+00:00,0.00000000
2000-03-07 00:00:00+00:00,0.04769231
2000-03-08 00:00:00+00:00,0.12006011
2000-03-09 00:00:00+00:00,-0.04881510
2000-03-10 00:00:00+00:00,0.03784571
2000-03-13 00:00:00+00:00,-0.04285714
2000-03-14 00:00:00+00:00,0.01459854
2000-03-15 00:00:00+00:00,0.02608696
2000-03-16 00:00:00+00:00,0.04005722
2000-03-17 00:00:00+00:00,-0.00841515
2000-03-20 00:00:00+00:00,-0.08901408
2000-03-21 00:00:00+00:00,-0.06898585
2000-03-22 00:00:00+00:00,-0.00900763
2000-03-23 00:00:00+00:00,-0.03082586
2000-03-24 00:00:00+00:00,-0.07476636
2000-03-27 00:00:00+00:00,-0.01051780
2000-03-28 00:00:00+00:00,0.00260268
2000-03-29 00:00:00+00:00,-0.01803265
2000-03-30 00:00:00+00:00,-0.02360656
2000-03-31 00:00:00+00:00,-0.02090246
2000-04-03 00:00:00+00:00,-0.04534005
2000-04-04 00:00:00+00:00,0.03556701
2000-04-05 00:00:00+00:00,0.01131088
2000-04-06 00:00:00+00:00,-0.03256673
2000-04-07 00:00:00+00:00,-0.02389078
2000-04-10 00:00:00+00:00,-0.08290155
2000-04-11 00:00:00+00:00,0.03855856
2000-04-12 00:00:00+00:00,-0.01132343
2000-04-13 00:00:00+00:00,-0.00106762
2000-04-14 00:00:00+00:00,0.07223114
2000-04-17 00:00:00+00:00,-0.01187710
2000-04-18 00:00:00+00:00,0.02649351
2000-04-19 00:00:00+00:00,-0.03708451
2000-04-20 00:00:00+00:00,-0.04248651
2000-04-24 00:00:00+00:00,0.01174168
2000-04-25 00:00:00+00:00,0.04722320
2000-04-26 00:00:00+00:00,-0.01330454
2000-04-27 00:00:00+00:00,0.05531397
2000-04-28 00:00:00+00:00,0.09749492
