Date,WHEY
2007-03-21 00:00:00+00:00,0.02517986
2007-03-22 00:00:00+00:00,0.00709220
2007-03-23 00:00:00+00:00,-0.01619718
2007-03-26 00:00:00+00:00,-0.05670471
2007-03-27 00:00:00+00:00,-0.11743119
2007-03-28 00:00:00+00:00,-0.05107212
2007-03-29 00:00:00+00:00,0.07591837
2007-03-30 00:00:00+00:00,-0.02968750
2007-04-02 00:00:00+00:00,0.00800000
2007-04-03 00:00:00+00:00,-0.03174603
2007-04-04 00:00:00+00:00,0.04342483
2007-04-05 00:00:00+00:00,0.06451613
2007-04-09 00:00:00+00:00,0.08593750
2007-04-10 00:00:00+00:00,0.01879699
2007-04-11 00:00:00+00:00,-0.01504027
2007-04-12 00:00:00+00:00,-0.00374532
2007-04-13 00:00:00+00:00,0.01123596
2007-04-16 00:00:00+00:00,0.01858736
2007-04-17 00:00:00+00:00,0.04044118
2007-04-18 00:00:00+00:00,-0.03571429
2007-04-19 00:00:00+00:00,0.04074074
2007-04-20 00:00:00+00:00,0.03284672
2007-04-23 00:00:00+00:00,0.00000000
2007-04-24 00:00:00+00:00,0.02857143
2007-04-25 00:00:00+00:00,0.05633803
2007-04-26 00:00:00+00:00,0.04794521
2007-04-27 00:00:00+00:00,0.01200000
2007-04-30 00:00:00+00:00,0.01317523
2007-05-01 00:00:00+00:00,0.00000000
2007-05-02 00:00:00+00:00,0.04743083
2007-05-03 00:00:00+00:00,0.04193548
2007-05-04 00:00:00+00:00,-0.02531646
2007-05-07 00:00:00+00:00,-0.05079365
2007-05-08 00:00:00+00:00,0.00162866
2007-05-09 00:00:00+00:00,0.00130293
2007-05-10 00:00:00+00:00,0.00293160
2007-05-11 00:00:00+00:00,-0.00941558
2007-05-14 00:00:00+00:00,0.00647695
2007-05-15 00:00:00+00:00,0.00000000
2007-05-16 00:00:00+00:00,-0.03863636
2007-05-17 00:00:00+00:00,0.00000000
2007-05-18 00:00:00+00:00,-0.01315789
2007-05-21 00:00:00+00:00,0.00666667
2007-05-22 00:00:00+00:00,-0.01986755
2007-05-23 00:00:00+00:00,0.02000000
2007-05-24 00:00:00+00:00,0.01366667
2007-05-25 00:00:00+00:00,-0.02499167
2007-05-29 00:00:00+00:00,-0.00202020
2007-05-30 00:00:00+00:00,-0.00336700
2007-05-31 00:00:00+00:00,0.03939394
2007-06-01 00:00:00+00:00,-0.01532442
2007-06-04 00:00:00+00:00,-0.01993464
2007-06-05 00:00:00+00:00,-0.04968323
2007-06-06 00:00:00+00:00,-0.00745763
2007-06-07 00:00:00+00:00,0.00412371
2007-06-08 00:00:00+00:00,0.00000000
2007-06-11 00:00:00+00:00,-0.00136986
2007-06-12 00:00:00+00:00,-0.00690832
2007-06-13 00:00:00+00:00,-0.00551724
2007-06-14 00:00:00+00:00,-0.01522491
2007-06-15 00:00:00+00:00,-0.01220363
2007-06-18 00:00:00+00:00,-0.01298246
2007-06-19 00:00:00+00:00,-0.01760563
2007-06-20 00:00:00+00:00,-0.04229391
2007-06-21 00:00:00+00:00,-0.06321205
2007-06-22 00:00:00+00:00,-0.07954545
2007-06-25 00:00:00+00:00,0.03225806
2007-06-26 00:00:00+00:00,-0.04687500
2007-06-27 00:00:00+00:00,-0.06800000
2007-06-28 00:00:00+00:00,-0.07916667
2007-06-29 00:00:00+00:00,-0.02629310
2007-07-02 00:00:00+00:00,0.01814159
2007-07-03 00:00:00+00:00,0.03982301
2007-07-05 00:00:00+00:00,0.01287554
2007-07-06 00:00:00+00:00,-0.02033898
2007-07-09 00:00:00+00:00,0.00000000
2007-07-10 00:00:00+00:00,0.02595156
2007-07-11 00:00:00+00:00,-0.07439446
2007-07-12 00:00:00+00:00,-0.01760286
2007-07-13 00:00:00+00:00,0.00000000
2007-07-16 00:00:00+00:00,0.01785714
2007-07-17 00:00:00+00:00,-0.03571429
2007-07-18 00:00:00+00:00,-0.03703704
2007-07-19 00:00:00+00:00,-0.05555556
2007-07-20 00:00:00+00:00,-0.13725490
2007-07-23 00:00:00+00:00,-0.02083333
2007-07-24 00:00:00+00:00,0.00000000
2007-07-25 00:00:00+00:00,-0.02127660
2007-07-26 00:00:00+00:00,0.00543478
2007-07-27 00:00:00+00:00,0.01621622
2007-07-30 00:00:00+00:00,0.00000000
2007-07-31 00:00:00+00:00,-0.02127660
2007-08-01 00:00:00+00:00,0.01595745
2007-08-02 00:00:00+00:00,0.00680628
2007-08-03 00:00:00+00:00,-0.00942408
2007-08-06 00:00:00+00:00,0.00263158
2007-08-07 00:00:00+00:00,0.01368421
2007-08-08 00:00:00+00:00,0.01263158
2007-08-09 00:00:00+00:00,0.01562500
2007-08-10 00:00:00+00:00,0.05699482
2007-08-13 00:00:00+00:00,0.05148739
2007-08-14 00:00:00+00:00,0.02000000
2007-08-15 00:00:00+00:00,0.01960784
2007-08-16 00:00:00+00:00,-0.03921569
2007-08-17 00:00:00+00:00,0.00980392
2007-08-20 00:00:00+00:00,-0.03921569
2007-08-21 00:00:00+00:00,-0.03061224
2007-08-22 00:00:00+00:00,0.00000000
2007-08-23 00:00:00+00:00,0.00000000
2007-08-24 00:00:00+00:00,-0.03571429
2007-08-27 00:00:00+00:00,-0.01058201
2007-08-28 00:00:00+00:00,-0.00529101
2007-08-29 00:00:00+00:00,0.01578947
