Date,BOBL
2008-03-06 00:00:00+00:00,0.00152631
2008-03-07 00:00:00+00:00,0.00349886
2008-03-10 00:00:00+00:00,0.00953788
2008-03-11 00:00:00+00:00,-0.01078383
2008-03-12 00:00:00+00:00,-0.00116487
2008-03-13 00:00:00+00:00,0.00170350
2008-03-14 00:00:00+00:00,0.00152289
2008-03-17 00:00:00+00:00,0.00814573
2008-03-18 00:00:00+00:00,-0.00820184
2008-03-19 00:00:00+00:00,-0.00501950
2008-03-20 00:00:00+00:00,-0.00503212
2008-03-25 00:00:00+00:00,-0.01531463
2008-03-26 00:00:00+00:00,0.00063527
2008-03-27 00:00:00+00:00,0.00068036
2008-03-28 00:00:00+00:00,-0.00276619
2008-03-31 00:00:00+00:00,0.00540418
2008-04-01 00:00:00+00:00,-0.00837976
2008-04-02 00:00:00+00:00,-0.00404785
2008-04-03 00:00:00+00:00,0.00332680
2008-04-04 00:00:00+00:00,0.00191083
2008-04-07 00:00:00+00:00,-0.00618154
2008-04-08 00:00:00+00:00,-0.00018237
2008-04-09 00:00:00+00:00,0.00127667
2008-04-10 00:00:00+00:00,0.00428324
2008-04-11 00:00:00+00:00,0.00636566
2008-04-14 00:00:00+00:00,0.00045329
2008-04-15 00:00:00+00:00,-0.00652647
2008-04-16 00:00:00+00:00,-0.00886565
2008-04-17 00:00:00+00:00,-0.00712361
2008-04-18 00:00:00+00:00,-0.01159274
2008-04-21 00:00:00+00:00,0.00562031
2008-04-22 00:00:00+00:00,-0.00712283
2008-04-23 00:00:00+00:00,0.00359712
2008-04-24 00:00:00+00:00,-0.00253188
2008-04-25 00:00:00+00:00,0.00115234
2008-04-28 00:00:00+00:00,0.00036853
2008-04-29 00:00:00+00:00,0.00566507
2008-04-30 00:00:00+00:00,-0.00036743
2008-05-02 00:00:00+00:00,-0.00863574
2008-05-05 00:00:00+00:00,0.00276778
2008-05-06 00:00:00+00:00,0.00469895
2008-05-07 00:00:00+00:00,-0.00243600
2008-05-08 00:00:00+00:00,0.00901813
2008-05-09 00:00:00+00:00,0.00481011
2008-05-12 00:00:00+00:00,-0.00415924
2008-05-13 00:00:00+00:00,-0.00792342
2008-05-14 00:00:00+00:00,-0.00689719
2008-05-15 00:00:00+00:00,-0.00664329
2008-05-16 00:00:00+00:00,0.00333256
2008-05-19 00:00:00+00:00,-0.00392791
2008-05-20 00:00:00+00:00,0.00300954
2008-05-21 00:00:00+00:00,-0.00795192
2008-05-22 00:00:00+00:00,-0.00487307
2008-05-23 00:00:00+00:00,0.00209341
2008-05-26 00:00:00+00:00,-0.00283457
2008-05-27 00:00:00+00:00,-0.00051182
2008-05-28 00:00:00+00:00,-0.00321154
2008-05-29 00:00:00+00:00,-0.00894980
2008-05-30 00:00:00+00:00,0.00219976
2008-06-02 00:00:00+00:00,0.00593958
2008-06-03 00:00:00+00:00,-0.00806828
2008-06-04 00:00:00+00:00,0.00627429
2008-06-05 00:00:00+00:00,-0.01526220
2008-06-06 00:00:00+00:00,0.00018755
