Date,MILK
2000-01-04 00:00:00+00:00,0.00473037
2000-01-05 00:00:00+00:00,0.00282486
2000-01-06 00:00:00+00:00,-0.04600939
2000-01-07 00:00:00+00:00,-0.00475737
2000-01-10 00:00:00+00:00,-0.00956273
2000-01-11 00:00:00+00:00,0.00095694
2000-01-12 00:00:00+00:00,-0.00095511
2000-01-13 00:00:00+00:00,0.00860421
2000-01-14 00:00:00+00:00,0.00095238
2000-01-18 00:00:00+00:00,0.02759277
2000-01-19 00:00:00+00:00,0.00462963
2000-01-20 00:00:00+00:00,-0.00925926
2000-01-21 00:00:00+00:00,-0.02139535
2000-01-24 00:00:00+00:00,-0.00188679
2000-01-25 00:00:00+00:00,-0.00660377
2000-01-26 00:00:00+00:00,-0.00759734
2000-01-27 00:00:00+00:00,-0.00571429
2000-01-28 00:00:00+00:00,0.00095147
2000-01-31 00:00:00+00:00,-0.00476190
2000-02-01 00:00:00+00:00,0.00381679
2000-02-02 00:00:00+00:00,-0.00285171
2000-02-03 00:00:00+00:00,0.00000000
2000-02-04 00:00:00+00:00,-0.04182510
2000-02-07 00:00:00+00:00,0.00000000
2000-02-08 00:00:00+00:00,-0.00194742
2000-02-09 00:00:00+00:00,-0.01658787
2000-02-10 00:00:00+00:00,-0.01379310
2000-02-11 00:00:00+00:00,-0.00594648
2000-02-14 00:00:00+00:00,-0.00897308
2000-02-15 00:00:00+00:00,-0.00400000
2000-02-16 00:00:00+00:00,0.01703407
2000-02-17 00:00:00+00:00,-0.00689655
2000-02-18 00:00:00+00:00,0.00000000
2000-02-22 00:00:00+00:00,-0.02079208
2000-02-23 00:00:00+00:00,0.00099502
2000-02-24 00:00:00+00:00,-0.00199005
2000-02-25 00:00:00+00:00,0.01794616
2000-02-28 00:00:00+00:00,0.01871921
2000-02-29 00:00:00+00:00,0.02048780
2000-03-01 00:00:00+00:00,0.02884615
2000-03-02 00:00:00+00:00,-0.01415094
2000-03-03 00:00:00+00:00,-0.03062201
2000-03-06 00:00:00+00:00,0.00192864
2000-03-07 00:00:00+00:00,0.00386473
2000-03-08 00:00:00+00:00,0.00192493
2000-03-09 00:00:00+00:00,-0.00868726
2000-03-10 00:00:00+00:00,-0.01544652
2000-03-13 00:00:00+00:00,-0.03508772
2000-03-14 00:00:00+00:00,0.00000000
2000-03-15 00:00:00+00:00,0.00398010
2000-03-16 00:00:00+00:00,0.00000000
2000-03-17 00:00:00+00:00,0.08656716
2000-03-20 00:00:00+00:00,0.00000000
2000-03-21 00:00:00+00:00,-0.00366300
2000-03-22 00:00:00+00:00,0.00183655
2000-03-23 00:00:00+00:00,0.00550964
2000-03-24 00:00:00+00:00,0.00000000
2000-03-27 00:00:00+00:00,-0.00273973
2000-03-28 00:00:00+00:00,0.00000000
2000-03-29 00:00:00+00:00,0.00365297
2000-03-30 00:00:00+00:00,-0.01548270
2000-03-31 00:00:00+00:00,0.00184162
2000-04-03 00:00:00+00:00,-0.00275482
2000-04-04 00:00:00+00:00,-0.00184162
2000-04-05 00:00:00+00:00,-0.01286765
2000-04-06 00:00:00+00:00,-0.00647549
2000-04-07 00:00:00+00:00,-0.01020408
2000-04-10 00:00:00+00:00,-0.00933707
2000-04-11 00:00:00+00:00,-0.00094323
2000-04-12 00:00:00+00:00,-0.01314554
2000-04-13 00:00:00+00:00,-0.01797540
2000-04-14 00:00:00+00:00,-0.00961538
2000-04-17 00:00:00+00:00,-0.00776699
2000-04-18 00:00:00+00:00,0.09286413
2000-04-19 00:00:00+00:00,-0.01252236
2000-04-20 00:00:00+00:00,0.05405405
2000-04-24 00:00:00+00:00,0.06514085
2000-04-25 00:00:00+00:00,-0.00425532
2000-04-26 00:00:00+00:00,-0.02966102
2000-04-27 00:00:00+00:00,-0.00432900
2000-04-28 00:00:00+00:00,0.00000000
2000-05-01 00:00:00+00:00,0.00000000
2000-05-02 00:00:00+00:00,0.00086580
2000-05-03 00:00:00+00:00,0.00346021
2000-05-04 00:00:00+00:00,0.01722653
2000-05-05 00:00:00+00:00,0.04006820
2000-05-08 00:00:00+00:00,-0.01742739
