Date,ZAR
2000-01-04 00:00:00+00:00,0.01249613
2000-01-05 00:00:00+00:00,0.00664002
2000-01-06 00:00:00+00:00,0.00134779
2000-01-07 00:00:00+00:00,0.00735745
2000-01-10 00:00:00+00:00,-0.00427611
2000-01-11 00:00:00+00:00,-0.00871166
2000-01-12 00:00:00+00:00,0.01124217
2000-01-13 00:00:00+00:00,0.00391485
2000-01-14 00:00:00+00:00,-0.00427350
2000-01-18 00:00:00+00:00,-0.00624044
2000-01-19 00:00:00+00:00,-0.00767201
2000-01-20 00:00:00+00:00,0.00338879
2000-01-21 00:00:00+00:00,-0.00724593
2000-01-24 00:00:00+00:00,-0.00382716
2000-01-25 00:00:00+00:00,-0.00266452
2000-01-26 00:00:00+00:00,-0.00383901
2000-01-27 00:00:00+00:00,-0.01489018
2000-01-28 00:00:00+00:00,-0.04200525
2000-01-31 00:00:00+00:00,0.01078976
2000-02-01 00:00:00+00:00,0.02114957
2000-02-02 00:00:00+00:00,-0.00722816
2000-02-03 00:00:00+00:00,0.01198738
2000-02-04 00:00:00+00:00,-0.00175604
2000-02-07 00:00:00+00:00,-0.01111111
2000-02-08 00:00:00+00:00,-0.00000000
2000-02-09 00:00:00+00:00,-0.01249763
2000-02-10 00:00:00+00:00,0.00177834
2000-02-11 00:00:00+00:00,-0.00539409
2000-02-14 00:00:00+00:00,-0.00019092
2000-02-15 00:00:00+00:00,-0.00216354
2000-02-16 00:00:00+00:00,0.00821761
2000-02-17 00:00:00+00:00,0.00634317
2000-02-18 00:00:00+00:00,-0.00442618
2000-02-22 00:00:00+00:00,0.00538657
2000-02-23 00:00:00+00:00,-0.00189633
2000-02-24 00:00:00+00:00,-0.00677644
2000-02-25 00:00:00+00:00,0.01650479
2000-02-28 00:00:00+00:00,-0.02537304
2000-02-29 00:00:00+00:00,0.01116071
2000-03-01 00:00:00+00:00,-0.00361560
2000-03-02 00:00:00+00:00,-0.00844981
2000-03-03 00:00:00+00:00,-0.02488038
2000-03-06 00:00:00+00:00,-0.01628433
2000-03-07 00:00:00+00:00,-0.00716379
2000-03-08 00:00:00+00:00,0.01732026
2000-03-09 00:00:00+00:00,0.00246273
2000-03-10 00:00:00+00:00,0.00226274
2000-03-13 00:00:00+00:00,-0.01258470
2000-03-14 00:00:00+00:00,0.00045460
2000-03-15 00:00:00+00:00,-0.01200909
2000-03-16 00:00:00+00:00,0.00672763
2000-03-17 00:00:00+00:00,-0.00651042
2000-03-20 00:00:00+00:00,-0.00359289
2000-03-21 00:00:00+00:00,-0.00019634
2000-03-22 00:00:00+00:00,0.01014398
2000-03-23 00:00:00+00:00,-0.00488440
2000-03-24 00:00:00+00:00,-0.00287300
2000-03-27 00:00:00+00:00,0.00438109
2000-03-28 00:00:00+00:00,-0.00339248
2000-03-29 00:00:00+00:00,-0.01065151
2000-03-30 00:00:00+00:00,-0.01806477
2000-03-31 00:00:00+00:00,0.01458596
2000-04-03 00:00:00+00:00,-0.00579214
2000-04-04 00:00:00+00:00,-0.00343688
2000-04-05 00:00:00+00:00,-0.00938967
2000-04-06 00:00:00+00:00,0.00245798
2000-04-07 00:00:00+00:00,0.00710020
2000-04-10 00:00:00+00:00,0.00304132
2000-04-11 00:00:00+00:00,-0.00858199
2000-04-12 00:00:00+00:00,0.00198899
2000-04-13 00:00:00+00:00,0.00264936
2000-04-14 00:00:00+00:00,-0.00218283
2000-04-17 00:00:00+00:00,-0.01357616
2000-04-18 00:00:00+00:00,0.01133333
2000-04-19 00:00:00+00:00,-0.01690645
2000-04-20 00:00:00+00:00,-0.02307229
2000-04-24 00:00:00+00:00,-0.00236806
2000-04-25 00:00:00+00:00,-0.00237047
2000-04-26 00:00:00+00:00,-0.02055213
2000-04-27 00:00:00+00:00,-0.01192189
2000-04-28 00:00:00+00:00,0.02412462
2000-05-01 00:00:00+00:00,0.00013621
2000-05-02 00:00:00+00:00,0.00136212
2000-05-03 00:00:00+00:00,-0.01668369
2000-05-04 00:00:00+00:00,-0.03555739
2000-05-05 00:00:00+00:00,0.00475691
2000-05-08 00:00:00+00:00,-0.00502793
2000-05-09 00:00:00+00:00,-0.03564439
2000-05-10 00:00:00+00:00,0.01352024
2000-05-11 00:00:00+00:00,0.00558186
2000-05-12 00:00:00+00:00,-0.00401691
2000-05-15 00:00:00+00:00,-0.00473064
2000-05-16 00:00:00+00:00,0.00120328
2000-05-17 00:00:00+00:00,-0.01591456
2000-05-18 00:00:00+00:00,-0.00713114
2000-05-19 00:00:00+00:00,-0.00987478
2000-05-22 00:00:00+00:00,0.01244604
2000-05-23 00:00:00+00:00,0.01772948
2000-05-24 00:00:00+00:00,-0.01100227
2000-05-25 00:00:00+00:00,-0.01361077
2000-05-26 00:00:00+00:00,0.00667145
2000-05-30 00:00:00+00:00,0.03803260
2000-05-31 00:00:00+00:00,0.01514196
2000-06-01 00:00:00+00:00,-0.00696476
2000-06-02 00:00:00+00:00,0.01537601
2000-06-05 00:00:00+00:00,0.00721321
2000-06-06 00:00:00+00:00,-0.01409813
