Date,LEAD_LME
2023-06-02 00:00:00+00:00,0.03266992
2023-06-05 00:00:00+00:00,-0.00393992
2023-06-06 00:00:00+00:00,-0.00148075
2023-06-07 00:00:00+00:00,0.01852081
2023-06-08 00:00:00+00:00,-0.00685099
2023-06-09 00:00:00+00:00,0.01743187
2023-06-12 00:00:00+00:00,0.01678628
2023-06-13 00:00:00+00:00,0.00772014
2023-06-14 00:00:00+00:00,0.03543969
2023-06-15 00:00:00+00:00,0.01180359
2023-06-16 00:00:00+00:00,0.01044356
2023-06-19 00:00:00+00:00,-0.00712118
2023-06-20 00:00:00+00:00,0.01124517
2023-06-21 00:00:00+00:00,0.02643531
2023-06-22 00:00:00+00:00,-0.00804598
2023-06-23 00:00:00+00:00,-0.03902101
2023-06-26 00:00:00+00:00,-0.05044115
2023-06-27 00:00:00+00:00,0.02707276
2023-06-28 00:00:00+00:00,-0.02467517
2023-06-29 00:00:00+00:00,-0.02015934
2023-06-30 00:00:00+00:00,0.05000000
2023-07-03 00:00:00+00:00,-0.00321199
2023-07-04 00:00:00+00:00,0.00023869
2023-07-05 00:00:00+00:00,-0.02600811
2023-07-06 00:00:00+00:00,-0.01499214
2023-07-07 00:00:00+00:00,0.00158382
2023-07-10 00:00:00+00:00,0.00961890
2023-07-11 00:00:00+00:00,-0.01017812
2023-07-12 00:00:00+00:00,0.03263914
2023-07-13 00:00:00+00:00,0.03977261
2023-07-14 00:00:00+00:00,-0.00399483
2023-07-17 00:00:00+00:00,-0.02190039
2023-07-18 00:00:00+00:00,-0.00321352
2023-07-19 00:00:00+00:00,-0.00178848
2023-07-20 00:00:00+00:00,0.01694915
2023-07-21 00:00:00+00:00,0.03176861
2023-07-24 00:00:00+00:00,0.03358209
2023-07-25 00:00:00+00:00,0.00355668
2023-07-26 00:00:00+00:00,-0.02555288
2023-07-27 00:00:00+00:00,0.00696379
2023-07-28 00:00:00+00:00,-0.00057803
2023-07-31 00:00:00+00:00,-0.00451128
2023-08-01 00:00:00+00:00,-0.00092958
2023-08-02 00:00:00+00:00,-0.00488486
2023-08-03 00:00:00+00:00,0.00906766
2023-08-04 00:00:00+00:00,-0.02338504
2023-08-07 00:00:00+00:00,0.00469704
2023-08-08 00:00:00+00:00,-0.01285647
2023-08-09 00:00:00+00:00,-0.00070588
2023-08-10 00:00:00+00:00,0.01057828
2023-08-11 00:00:00+00:00,-0.02245614
2023-08-14 00:00:00+00:00,-0.01281443
2023-08-15 00:00:00+00:00,0.02553699
2023-08-16 00:00:00+00:00,-0.00070705
2023-08-17 00:00:00+00:00,0.02051161
2023-08-18 00:00:00+00:00,0.00793651
2023-08-21 00:00:00+00:00,0.01546152
2023-08-22 00:00:00+00:00,-0.01141737
2023-08-23 00:00:00+00:00,0.03202599
2023-08-24 00:00:00+00:00,-0.00365464
2023-08-25 00:00:00+00:00,-0.02037079
2023-08-29 00:00:00+00:00,0.02890173
2023-08-30 00:00:00+00:00,-0.00888788
2023-08-31 00:00:00+00:00,0.03318837
2023-09-01 00:00:00+00:00,0.02678973
2023-09-04 00:00:00+00:00,-0.02221235
2023-09-05 00:00:00+00:00,0.00898271
2023-09-06 00:00:00+00:00,-0.00648624
2023-09-07 00:00:00+00:00,0.00358986
2023-09-08 00:00:00+00:00,-0.00246305
2023-09-11 00:00:00+00:00,0.01860987
2023-09-12 00:00:00+00:00,-0.02621057
2023-09-13 00:00:00+00:00,-0.00202611
2023-09-14 00:00:00+00:00,0.02568725
2023-09-15 00:00:00+00:00,0.01401246
2023-09-18 00:00:00+00:00,-0.01214933
2023-09-19 00:00:00+00:00,-0.02511111
2023-09-20 00:00:00+00:00,-0.00450248
2023-09-21 00:00:00+00:00,-0.02732611
2023-09-22 00:00:00+00:00,0.02861722
2023-09-25 00:00:00+00:00,-0.03114421
2023-09-26 00:00:00+00:00,0.00618982
2023-09-27 00:00:00+00:00,-0.03131429
2023-09-28 00:00:00+00:00,0.04040873
2023-09-29 00:00:00+00:00,-0.02276867
2023-10-02 00:00:00+00:00,-0.02441271
2023-10-03 00:00:00+00:00,-0.02681278
2023-10-04 00:00:00+00:00,-0.00047259
2023-10-05 00:00:00+00:00,0.01748996
2023-10-06 00:00:00+00:00,0.00726165
2023-10-09 00:00:00+00:00,-0.01190476
2023-10-10 00:00:00+00:00,-0.02702068
2023-10-11 00:00:00+00:00,-0.00857551
2023-10-12 00:00:00+00:00,-0.03875598
2023-10-13 00:00:00+00:00,-0.01220107
2023-10-16 00:00:00+00:00,0.03190184
2023-10-17 00:00:00+00:00,0.00555153
2023-10-18 00:00:00+00:00,0.02310469
2023-10-19 00:00:00+00:00,-0.00404569
2023-10-20 00:00:00+00:00,-0.00262279
2023-10-23 00:00:00+00:00,0.00214286
2023-10-24 00:00:00+00:00,0.00642093
2023-10-25 00:00:00+00:00,-0.02299668
2023-10-26 00:00:00+00:00,0.00887290
2023-10-27 00:00:00+00:00,0.02887828
2023-10-30 00:00:00+00:00,-0.00211765
2023-10-31 00:00:00+00:00,-0.03438530
2023-11-01 00:00:00+00:00,0.01821668
2023-11-02 00:00:00+00:00,0.01876485
2023-11-03 00:00:00+00:00,0.04681251
2023-11-06 00:00:00+00:00,0.00758272
2023-11-07 00:00:00+00:00,0.00732601
2023-11-08 00:00:00+00:00,0.00068399
2023-11-09 00:00:00+00:00,0.00000000
2023-11-10 00:00:00+00:00,-0.01002050
2023-11-13 00:00:00+00:00,-0.00938860
2023-11-14 00:00:00+00:00,0.03014960
2023-11-15 00:00:00+00:00,0.03990025
2023-11-16 00:00:00+00:00,0.02555556
2023-11-17 00:00:00+00:00,0.00941743
2023-11-20 00:00:00+00:00,-0.01721883
2023-11-21 00:00:00+00:00,-0.00285777
2023-11-22 00:00:00+00:00,-0.04271246
2023-11-23 00:00:00+00:00,-0.00630063
2023-11-24 00:00:00+00:00,-0.01490178
2023-11-27 00:00:00+00:00,-0.03185438
2023-11-28 00:00:00+00:00,-0.00809436
2023-11-29 00:00:00+00:00,-0.00673166
2023-11-30 00:00:00+00:00,-0.02166822
2023-12-01 00:00:00+00:00,-0.00471143
2023-12-04 00:00:00+00:00,-0.02479339
2023-12-05 00:00:00+00:00,-0.03922507
2023-12-06 00:00:00+00:00,-0.02341463
2023-12-07 00:00:00+00:00,-0.01085884
2023-12-08 00:00:00+00:00,0.01215881
2023-12-11 00:00:00+00:00,0.02986180
2023-12-12 00:00:00+00:00,-0.01701094
2023-12-13 00:00:00+00:00,-0.00441609
2023-12-14 00:00:00+00:00,0.03441495
2023-12-15 00:00:00+00:00,0.01184147
2023-12-18 00:00:00+00:00,-0.02426718
2023-12-19 00:00:00+00:00,0.00656455
2023-12-20 00:00:00+00:00,0.01817741
2023-12-21 00:00:00+00:00,-0.01488595
2023-12-22 00:00:00+00:00,-0.00193470
2023-12-27 00:00:00+00:00,0.02371733
2023-12-28 00:00:00+00:00,-0.00000000
2023-12-29 00:00:00+00:00,-0.01746411
2024-01-02 00:00:00+00:00,-0.00554885
2024-01-03 00:00:00+00:00,-0.01838858
2024-01-04 00:00:00+00:00,-0.00390816
2024-01-05 00:00:00+00:00,0.03475281
2024-01-08 00:00:00+00:00,-0.01250902
2024-01-09 00:00:00+00:00,-0.01137739
2024-01-10 00:00:00+00:00,0.03189676
2024-01-11 00:00:00+00:00,0.01150252
2024-01-12 00:00:00+00:00,-0.00452812
2024-01-15 00:00:00+00:00,0.01624075
2024-01-16 00:00:00+00:00,-0.00378967
2024-01-17 00:00:00+00:00,-0.03745851
2024-01-18 00:00:00+00:00,0.01642909
2024-01-19 00:00:00+00:00,0.02441944
2024-01-22 00:00:00+00:00,0.01965427
2024-01-23 00:00:00+00:00,0.04337632
2024-01-24 00:00:00+00:00,-0.00321322
2024-01-25 00:00:00+00:00,-0.01079467
2024-01-26 00:00:00+00:00,0.01247401
2024-01-29 00:00:00+00:00,0.00757750
2024-01-30 00:00:00+00:00,0.00434584
2024-01-31 00:00:00+00:00,-0.01757991
2024-02-01 00:00:00+00:00,-0.00667895
2024-02-02 00:00:00+00:00,-0.00670365
2024-02-05 00:00:00+00:00,-0.03339518
2024-02-06 00:00:00+00:00,-0.00047181
2024-02-07 00:00:00+00:00,-0.01344657
2024-02-08 00:00:00+00:00,-0.04371585
2024-02-09 00:00:00+00:00,-0.02137998
2024-02-12 00:00:00+00:00,-0.00981595
2024-02-13 00:00:00+00:00,-0.02491981
2024-02-14 00:00:00+00:00,0.01348315
2024-02-15 00:00:00+00:00,0.02529135
2024-02-16 00:00:00+00:00,0.02326151
2024-02-19 00:00:00+00:00,-0.02154442
2024-02-20 00:00:00+00:00,0.00440529
2024-02-21 00:00:00+00:00,0.02905273
2024-02-22 00:00:00+00:00,0.00962927
2024-02-23 00:00:00+00:00,0.00838524
2024-02-26 00:00:00+00:00,0.00000000
2024-02-27 00:00:00+00:00,-0.00644238
2024-02-28 00:00:00+00:00,-0.00741982
2024-02-29 00:00:00+00:00,-0.02402691
2024-03-01 00:00:00+00:00,-0.02602140
2024-03-04 00:00:00+00:00,0.01724988
2024-03-05 00:00:00+00:00,-0.00610948
2024-03-06 00:00:00+00:00,0.01838686
2024-03-07 00:00:00+00:00,0.04153510
2024-03-08 00:00:00+00:00,-0.00285442
2024-03-11 00:00:00+00:00,0.01930410
2024-03-12 00:00:00+00:00,0.01722917
2024-03-13 00:00:00+00:00,0.02386523
2024-03-14 00:00:00+00:00,-0.01109570
2024-03-15 00:00:00+00:00,-0.02883721
2024-03-18 00:00:00+00:00,-0.03848878
2024-03-19 00:00:00+00:00,0.00240674
2024-03-20 00:00:00+00:00,-0.01635008
2024-03-21 00:00:00+00:00,-0.01356261
2024-03-22 00:00:00+00:00,-0.01438673
2024-03-25 00:00:00+00:00,-0.00171863
2024-03-26 00:00:00+00:00,-0.01597837
2024-03-27 00:00:00+00:00,-0.01710461
2024-03-28 00:00:00+00:00,0.05301325
