Date,COPPER-mini
2000-01-05 00:00:00+00:00,0.01945755
2000-01-06 00:00:00+00:00,-0.00817280
2000-01-07 00:00:00+00:00,0.00293083
2000-01-10 00:00:00+00:00,-0.01580796
2000-01-11 00:00:00+00:00,-0.00590667
2000-01-12 00:00:00+00:00,0.05157084
2000-01-13 00:00:00+00:00,-0.02078522
2000-01-14 00:00:00+00:00,0.01342674
2000-01-18 00:00:00+00:00,0.00927536
2000-01-19 00:00:00+00:00,0.03637413
2000-01-20 00:00:00+00:00,-0.01983003
2000-01-21 00:00:00+00:00,-0.00057274
2000-01-24 00:00:00+00:00,-0.03608247
2000-01-25 00:00:00+00:00,-0.03035610
2000-01-26 00:00:00+00:00,-0.00237389
2000-01-27 00:00:00+00:00,0.00653595
2000-01-28 00:00:00+00:00,-0.02072232
2000-01-31 00:00:00+00:00,0.03592814
2000-02-01 00:00:00+00:00,-0.01530312
2000-02-02 00:00:00+00:00,-0.04863582
2000-02-03 00:00:00+00:00,0.00790274
2000-02-04 00:00:00+00:00,0.00363196
2000-02-07 00:00:00+00:00,0.00060423
2000-02-08 00:00:00+00:00,-0.01692866
2000-02-09 00:00:00+00:00,0.00487805
2000-02-10 00:00:00+00:00,0.06508516
2000-02-11 00:00:00+00:00,-0.00941730
2000-02-14 00:00:00+00:00,-0.00236686
2000-02-15 00:00:00+00:00,-0.04028436
2000-02-16 00:00:00+00:00,0.00181378
2000-02-17 00:00:00+00:00,0.01932367
2000-02-18 00:00:00+00:00,-0.00897129
2000-02-22 00:00:00+00:00,-0.01021635
2000-02-23 00:00:00+00:00,0.02779456
2000-02-24 00:00:00+00:00,-0.01013111
2000-02-25 00:00:00+00:00,-0.04676259
2000-02-28 00:00:00+00:00,-0.08159509
2000-02-29 00:00:00+00:00,0.03393086
2000-03-01 00:00:00+00:00,0.01052632
2000-03-02 00:00:00+00:00,-0.01477833
2000-03-03 00:00:00+00:00,0.01116625
2000-03-06 00:00:00+00:00,0.00616523
2000-03-07 00:00:00+00:00,-0.02335587
2000-03-08 00:00:00+00:00,-0.01244555
2000-03-09 00:00:00+00:00,0.02379461
