Date,COFFEE
2007-02-21 00:00:00+00:00,
2007-02-22 00:00:00+00:00,0.06104036
2007-02-23 00:00:00+00:00,-0.00014978
2007-02-26 00:00:00+00:00,-0.02048146
2007-02-27 00:00:00+00:00,-0.00960104
2007-02-28 00:00:00+00:00,0.00274151
2007-03-01 00:00:00+00:00,-0.03107608
2007-03-02 00:00:00+00:00,-0.02401704
2007-03-05 00:00:00+00:00,-0.06116395
2007-03-06 00:00:00+00:00,0.02606435
2007-03-07 00:00:00+00:00,-0.01437741
2007-03-08 00:00:00+00:00,0.00332824
2007-03-09 00:00:00+00:00,0.00115409
2007-03-12 00:00:00+00:00,-0.01185093
2007-03-13 00:00:00+00:00,-0.01322445
2007-03-14 00:00:00+00:00,-0.02120831
2007-03-15 00:00:00+00:00,0.01182778
2007-03-16 00:00:00+00:00,-0.00367281
2007-03-19 00:00:00+00:00,-0.00147084
2007-03-20 00:00:00+00:00,-0.01737979
2007-03-21 00:00:00+00:00,0.05692040
2007-03-22 00:00:00+00:00,-0.01314993
2007-03-23 00:00:00+00:00,0.02734074
2007-03-26 00:00:00+00:00,0.01707225
2007-03-27 00:00:00+00:00,-0.03258307
2007-03-28 00:00:00+00:00,0.00419195
2007-03-29 00:00:00+00:00,-0.03564400
2007-03-30 00:00:00+00:00,-0.02349405
2007-04-02 00:00:00+00:00,-0.01173220
2007-04-03 00:00:00+00:00,0.03840171
2007-04-04 00:00:00+00:00,-0.00410409
2007-04-05 00:00:00+00:00,0.00514306
2007-04-09 00:00:00+00:00,-0.02124424
2007-04-10 00:00:00+00:00,-0.00725301
2007-04-11 00:00:00+00:00,0.00342160
2007-04-12 00:00:00+00:00,0.05993450
2007-04-13 00:00:00+00:00,-0.01829544
2007-04-16 00:00:00+00:00,-0.05945572
2007-04-17 00:00:00+00:00,0.01963967
2007-04-18 00:00:00+00:00,-0.00370784
2007-04-19 00:00:00+00:00,-0.01307910
2007-04-20 00:00:00+00:00,0.01734485
2007-04-23 00:00:00+00:00,-0.02217058
2007-04-24 00:00:00+00:00,-0.03089261
2007-04-25 00:00:00+00:00,-0.00738349
2007-04-26 00:00:00+00:00,-0.00922562
2007-04-27 00:00:00+00:00,0.00441935
2007-04-30 00:00:00+00:00,-0.01561626
2007-05-01 00:00:00+00:00,-0.02353608
2007-05-02 00:00:00+00:00,-0.00338998
2007-05-03 00:00:00+00:00,-0.00665018
2007-05-04 00:00:00+00:00,0.03064228
2007-05-07 00:00:00+00:00,-0.02218986
2007-05-08 00:00:00+00:00,0.00821773
2007-05-09 00:00:00+00:00,0.01836022
2007-05-10 00:00:00+00:00,0.00535851
2007-05-11 00:00:00+00:00,-0.01613696
2007-05-14 00:00:00+00:00,0.02151851
2007-05-15 00:00:00+00:00,0.00760835
2007-05-16 00:00:00+00:00,0.04345917
2007-05-17 00:00:00+00:00,0.06030536
2007-05-18 00:00:00+00:00,-0.02257305
2007-05-21 00:00:00+00:00,0.00334965
2007-05-22 00:00:00+00:00,-0.00841710
2007-05-23 00:00:00+00:00,0.00860718
2007-05-24 00:00:00+00:00,0.02250622
2007-05-25 00:00:00+00:00,-0.00789394
2007-05-29 00:00:00+00:00,-0.03775354
2007-05-30 00:00:00+00:00,0.01175450
2007-05-31 00:00:00+00:00,0.00949439
2007-06-01 00:00:00+00:00,0.09528617
2007-06-04 00:00:00+00:00,-0.03508001
2007-06-05 00:00:00+00:00,0.02102872
2007-06-06 00:00:00+00:00,-0.00139575
2007-06-07 00:00:00+00:00,0.00866184
2007-06-08 00:00:00+00:00,-0.03518206
2007-06-11 00:00:00+00:00,0.00877978
2007-06-12 00:00:00+00:00,-0.03269486
2007-06-13 00:00:00+00:00,0.01877341
2007-06-14 00:00:00+00:00,-0.00056081
2007-06-15 00:00:00+00:00,-0.00055973
2007-06-18 00:00:00+00:00,0.00285421
2007-06-19 00:00:00+00:00,-0.02662016
2007-06-20 00:00:00+00:00,0.02792877
2007-06-21 00:00:00+00:00,0.02669448
2007-06-22 00:00:00+00:00,-0.02128069
2007-06-25 00:00:00+00:00,-0.07138762
2007-06-26 00:00:00+00:00,0.01289692
2007-06-27 00:00:00+00:00,0.00504282
2007-06-28 00:00:00+00:00,0.00675222
2007-06-29 00:00:00+00:00,0.00329412
2007-07-02 00:00:00+00:00,-0.01299436
2007-07-03 00:00:00+00:00,-0.01522904
2007-07-05 00:00:00+00:00,-0.01273510
2007-07-06 00:00:00+00:00,-0.01106941
2007-07-09 00:00:00+00:00,-0.00629356
2007-07-10 00:00:00+00:00,0.02938559
2007-07-11 00:00:00+00:00,0.01245983
2007-07-12 00:00:00+00:00,-0.00791541
2007-07-13 00:00:00+00:00,-0.02788477
2007-07-16 00:00:00+00:00,0.03456718
2007-07-17 00:00:00+00:00,0.01195137
2007-07-18 00:00:00+00:00,0.02647748
2007-07-19 00:00:00+00:00,0.00366961
2007-07-20 00:00:00+00:00,-0.00437379
2007-07-23 00:00:00+00:00,-0.02812246
2007-07-24 00:00:00+00:00,0.05832484
2007-07-25 00:00:00+00:00,-0.02604230
2007-07-26 00:00:00+00:00,-0.04711646
2007-07-27 00:00:00+00:00,0.02238986
2007-07-30 00:00:00+00:00,0.00500050
2007-07-31 00:00:00+00:00,0.02206934
2007-08-01 00:00:00+00:00,-0.02085150
2007-08-02 00:00:00+00:00,0.05282696
2007-08-03 00:00:00+00:00,0.02358071
2007-08-06 00:00:00+00:00,0.01302228
2007-08-07 00:00:00+00:00,-0.01525680
2007-08-08 00:00:00+00:00,0.01714098
2007-08-09 00:00:00+00:00,0.01577348
2007-08-10 00:00:00+00:00,0.01808635
2007-08-13 00:00:00+00:00,0.00186987
2007-08-14 00:00:00+00:00,-0.02578622
2007-08-15 00:00:00+00:00,0.00069238
2007-08-16 00:00:00+00:00,-0.12876654
2007-08-17 00:00:00+00:00,0.07364224
2007-08-20 00:00:00+00:00,-0.01139046
2007-08-21 00:00:00+00:00,-0.00936486
2007-08-22 00:00:00+00:00,0.00538380
2007-08-23 00:00:00+00:00,0.03902538
2007-08-24 00:00:00+00:00,-0.01024070
2007-08-27 00:00:00+00:00,-0.03065536
2007-08-28 00:00:00+00:00,0.00607863
2007-08-29 00:00:00+00:00,-0.02401523
2007-08-30 00:00:00+00:00,0.00071675
2007-08-31 00:00:00+00:00,-0.00515047
2007-09-04 00:00:00+00:00,0.03413767
2007-09-05 00:00:00+00:00,-0.03095439
2007-09-06 00:00:00+00:00,0.01155998
2007-09-07 00:00:00+00:00,0.00319959
2007-09-10 00:00:00+00:00,0.05122723
2007-09-11 00:00:00+00:00,-0.00900591
2007-09-12 00:00:00+00:00,0.00880739
2007-09-13 00:00:00+00:00,-0.01183180
2007-09-14 00:00:00+00:00,0.02547126
2007-09-17 00:00:00+00:00,0.10778179
2007-09-18 00:00:00+00:00,0.03913536
2007-09-19 00:00:00+00:00,0.01521163
2007-09-20 00:00:00+00:00,0.02584221
2007-09-21 00:00:00+00:00,-0.04624881
2007-09-24 00:00:00+00:00,0.03771502
2007-09-25 00:00:00+00:00,0.00981054
2007-09-26 00:00:00+00:00,-0.06521571
2007-09-27 00:00:00+00:00,0.00329186
2007-09-28 00:00:00+00:00,-0.00312987
2007-10-01 00:00:00+00:00,0.09285547
2007-10-02 00:00:00+00:00,-0.00806442
2007-10-03 00:00:00+00:00,0.02309678
2007-10-04 00:00:00+00:00,-0.00979331
2007-10-05 00:00:00+00:00,0.02617969
2007-10-08 00:00:00+00:00,0.02512282
2007-10-09 00:00:00+00:00,-0.06961673
2007-10-10 00:00:00+00:00,-0.00557220
2007-10-11 00:00:00+00:00,0.07060487
2007-10-12 00:00:00+00:00,0.01466576
2007-10-15 00:00:00+00:00,-0.12840258
2007-10-16 00:00:00+00:00,-0.02849315
2007-10-17 00:00:00+00:00,0.02146434
2007-10-18 00:00:00+00:00,-0.06191170
