Date,CH10
2001-12-05 00:00:00+00:00,
2001-12-06 00:00:00+00:00,-0.02062326
2001-12-07 00:00:00+00:00,-0.01086831
2001-12-10 00:00:00+00:00,0.00243355
2001-12-11 00:00:00+00:00,0.00568480
2001-12-12 00:00:00+00:00,0.01074074
2001-12-13 00:00:00+00:00,-0.00189197
2001-12-14 00:00:00+00:00,0.00092151
2001-12-17 00:00:00+00:00,-0.01215873
2001-12-18 00:00:00+00:00,-0.00007167
2001-12-19 00:00:00+00:00,0.00345185
2001-12-20 00:00:00+00:00,-0.00464322
2001-12-21 00:00:00+00:00,-0.00082083
2001-12-27 00:00:00+00:00,-0.00524061
2001-12-28 00:00:00+00:00,-0.00508629
2002-01-03 00:00:00+00:00,0.01190962
2002-01-04 00:00:00+00:00,-0.00123769
2002-01-07 00:00:00+00:00,0.01259381
2002-01-08 00:00:00+00:00,0.00622115
2002-01-09 00:00:00+00:00,-0.00180394
2002-01-10 00:00:00+00:00,0.00802513
2002-01-11 00:00:00+00:00,0.00009567
2002-01-14 00:00:00+00:00,0.00091933
2002-01-15 00:00:00+00:00,-0.00648214
2002-01-16 00:00:00+00:00,0.00207625
2002-01-17 00:00:00+00:00,-0.00451938
2002-01-18 00:00:00+00:00,-0.00634601
2002-01-21 00:00:00+00:00,-0.00006917
2002-01-22 00:00:00+00:00,-0.00717108
2002-01-23 00:00:00+00:00,0.00375376
2002-01-24 00:00:00+00:00,-0.00872090
2002-01-25 00:00:00+00:00,-0.00957339
2002-01-28 00:00:00+00:00,-0.00258444
2002-01-29 00:00:00+00:00,-0.00292204
2002-01-30 00:00:00+00:00,0.00244562
2002-01-31 00:00:00+00:00,-0.00040826
2002-02-01 00:00:00+00:00,0.00562877
2002-02-04 00:00:00+00:00,0.01113110
2002-02-05 00:00:00+00:00,0.00192273
2002-02-06 00:00:00+00:00,-0.00322863
2002-02-07 00:00:00+00:00,-0.01321656
2002-02-08 00:00:00+00:00,-0.00124396
2002-02-11 00:00:00+00:00,-0.00241846
2002-02-12 00:00:00+00:00,0.00059850
2002-02-13 00:00:00+00:00,-0.00074355
2002-02-14 00:00:00+00:00,0.00110172
2002-02-15 00:00:00+00:00,0.00713803
2002-02-18 00:00:00+00:00,-0.00007250
2002-02-19 00:00:00+00:00,0.00179029
2002-02-20 00:00:00+00:00,-0.00107422
2002-02-21 00:00:00+00:00,-0.00274599
2002-02-22 00:00:00+00:00,0.00661968
2002-02-25 00:00:00+00:00,-0.00724289
2002-02-26 00:00:00+00:00,-0.00191349
2002-02-27 00:00:00+00:00,-0.00526527
2002-02-28 00:00:00+00:00,0.00076453
2002-03-01 00:00:00+00:00,-0.00250228
2002-03-04 00:00:00+00:00,-0.00854264
2002-03-05 00:00:00+00:00,-0.00749061
2002-03-06 00:00:00+00:00,-0.00270600
2002-03-07 00:00:00+00:00,-0.00245416
2002-03-08 00:00:00+00:00,-0.00364910
2002-03-11 00:00:00+00:00,0.00555167
2002-03-12 00:00:00+00:00,0.00179511
2002-03-13 00:00:00+00:00,-0.00381173
