Date,VIX
2006-01-27 00:00:00+00:00,
2006-01-30 00:00:00+00:00,-0.02484230
2006-01-31 00:00:00+00:00,0.01123142
2006-02-01 00:00:00+00:00,-0.00694682
2006-02-02 00:00:00+00:00,0.02194626
2006-02-03 00:00:00+00:00,-0.00390290
2006-02-06 00:00:00+00:00,-0.00088236
2006-02-07 00:00:00+00:00,0.02103972
2006-02-08 00:00:00+00:00,-0.05956777
2006-02-09 00:00:00+00:00,-0.01698324
2006-02-10 00:00:00+00:00,-0.00633192
2006-02-13 00:00:00+00:00,0.03878481
2006-02-14 00:00:00+00:00,-0.06439557
2006-02-15 00:00:00+00:00,0.01147523
2006-02-16 00:00:00+00:00,-0.01937113
2006-02-17 00:00:00+00:00,-0.01111221
2006-02-21 00:00:00+00:00,-0.01282244
2006-02-22 00:00:00+00:00,-0.02022021
2006-02-23 00:00:00+00:00,0.00069604
2006-02-24 00:00:00+00:00,0.04577706
2006-02-27 00:00:00+00:00,0.08216368
2006-02-28 00:00:00+00:00,0.00784024
2006-03-01 00:00:00+00:00,-0.01097293
2006-03-02 00:00:00+00:00,-0.00376874
2006-03-03 00:00:00+00:00,-0.01404678
2006-03-06 00:00:00+00:00,0.01025881
2006-03-07 00:00:00+00:00,0.01095967
2006-03-08 00:00:00+00:00,-0.01190017
2006-03-09 00:00:00+00:00,0.00653014
2006-03-10 00:00:00+00:00,-0.01192663
2006-03-13 00:00:00+00:00,-0.00902242
2006-03-14 00:00:00+00:00,-0.01429589
2006-03-15 00:00:00+00:00,-0.00012778
2006-03-16 00:00:00+00:00,-0.01887941
2006-03-17 00:00:00+00:00,0.00288173
2006-03-20 00:00:00+00:00,0.00513087
2006-03-21 00:00:00+00:00,0.00739501
2006-03-22 00:00:00+00:00,-0.03538826
2006-03-23 00:00:00+00:00,-0.00012875
2006-03-24 00:00:00+00:00,-0.00780265
2006-03-27 00:00:00+00:00,-0.00166429
2006-03-28 00:00:00+00:00,-0.00089875
2006-03-29 00:00:00+00:00,-0.03551212
2006-03-30 00:00:00+00:00,-0.01103929
2006-03-31 00:00:00+00:00,0.01399015
2006-04-03 00:00:00+00:00,-0.00637332
2006-04-04 00:00:00+00:00,-0.01031712
