Date,EUA
2022-07-15 00:00:00+00:00,
2022-07-18 00:00:00+00:00,-0.00948798
2022-07-19 00:00:00+00:00,-0.02732368
2022-07-20 00:00:00+00:00,-0.11303236
2022-07-21 00:00:00+00:00,-0.01747447
2022-07-22 00:00:00+00:00,-0.04989700
2022-07-25 00:00:00+00:00,-0.00121242
2022-07-26 00:00:00+00:00,0.00779464
2022-07-27 00:00:00+00:00,-0.01435229
2022-07-28 00:00:00+00:00,0.06931418
2022-07-29 00:00:00+00:00,-0.01175745
2022-08-01 00:00:00+00:00,0.04944883
2022-08-02 00:00:00+00:00,0.03447695
2022-08-03 00:00:00+00:00,0.04908578
2022-08-04 00:00:00+00:00,0.00560791
2022-08-05 00:00:00+00:00,0.01379084
2022-08-08 00:00:00+00:00,-0.02175661
2022-08-09 00:00:00+00:00,0.05130495
2022-08-10 00:00:00+00:00,-0.00075274
2022-08-11 00:00:00+00:00,0.03703092
2022-08-12 00:00:00+00:00,0.02969125
2022-08-15 00:00:00+00:00,0.04413700
2022-08-16 00:00:00+00:00,0.02764824
2022-08-17 00:00:00+00:00,0.08154211
2022-08-18 00:00:00+00:00,0.00509722
2022-08-19 00:00:00+00:00,0.03978973
2022-08-22 00:00:00+00:00,-0.11615006
2022-08-23 00:00:00+00:00,-0.06032759
2022-08-24 00:00:00+00:00,0.00176650
2022-08-25 00:00:00+00:00,0.00198041
2022-08-26 00:00:00+00:00,0.02439648
2022-08-29 00:00:00+00:00,-0.07529356
2022-08-30 00:00:00+00:00,-0.13529107
2022-08-31 00:00:00+00:00,-0.01809186
2022-09-01 00:00:00+00:00,0.01856583
2022-09-02 00:00:00+00:00,-0.07053231
2022-09-05 00:00:00+00:00,-0.08436368
2022-09-06 00:00:00+00:00,-0.12135831
2022-09-07 00:00:00+00:00,-0.02467465
2022-09-08 00:00:00+00:00,-0.05612851
2022-09-09 00:00:00+00:00,-0.03329109
2022-09-12 00:00:00+00:00,0.16861710
2022-09-13 00:00:00+00:00,-0.05567813
2022-09-14 00:00:00+00:00,0.07959381
2022-09-15 00:00:00+00:00,-0.01788372
2022-09-16 00:00:00+00:00,0.03996351
2022-09-19 00:00:00+00:00,-0.05536735
2022-09-20 00:00:00+00:00,0.00125516
2022-09-21 00:00:00+00:00,-0.03666081
2022-09-22 00:00:00+00:00,0.01859971
