Date,MSCITAIWAN
2022-07-22 00:00:00+00:00,
2022-07-25 00:00:00+00:00,0.00219378
2022-07-26 00:00:00+00:00,-0.01366703
2022-07-27 00:00:00+00:00,0.01516937
2022-07-28 00:00:00+00:00,0.00357280
2022-07-29 00:00:00+00:00,0.00684549
2022-08-01 00:00:00+00:00,-0.00350566
2022-08-02 00:00:00+00:00,-0.03356827
2022-08-03 00:00:00+00:00,0.01606477
2022-08-04 00:00:00+00:00,0.00009129
2022-08-05 00:00:00+00:00,0.04624811
2022-08-08 00:00:00+00:00,-0.00620250
2022-08-09 00:00:00+00:00,0.00127728
2022-08-10 00:00:00+00:00,-0.02192269
2022-08-11 00:00:00+00:00,0.04440437
2022-08-12 00:00:00+00:00,0.01087872
2022-08-15 00:00:00+00:00,0.01952424
2022-08-16 00:00:00+00:00,0.00439613
2022-08-17 00:00:00+00:00,0.00388976
2022-08-18 00:00:00+00:00,-0.01880394
2022-08-19 00:00:00+00:00,0.00758345
2022-08-22 00:00:00+00:00,-0.01707737
2022-08-23 00:00:00+00:00,-0.00922481
2022-08-24 00:00:00+00:00,-0.00435146
2022-08-25 00:00:00+00:00,0.00970931
2022-08-26 00:00:00+00:00,0.00434218
2022-08-29 00:00:00+00:00,-0.02716667
2022-08-30 00:00:00+00:00,0.00461633
2022-08-31 00:00:00+00:00,0.00494110
2022-09-01 00:00:00+00:00,-0.07762815
2022-09-02 00:00:00+00:00,-0.01082768
2022-09-05 00:00:00+00:00,-0.00328194
2022-09-06 00:00:00+00:00,0.01071907
2022-09-07 00:00:00+00:00,-0.04369300
2022-09-08 00:00:00+00:00,0.02497301
2022-09-09 00:00:00+00:00,0.01023552
2022-09-12 00:00:00+00:00,0.02696948
2022-09-13 00:00:00+00:00,0.01021265
2022-09-14 00:00:00+00:00,-0.04309065
2022-09-15 00:00:00+00:00,0.00701014
2022-09-16 00:00:00+00:00,-0.02474399
2022-09-19 00:00:00+00:00,-0.00924823
2022-09-20 00:00:00+00:00,0.02043995
2022-09-21 00:00:00+00:00,-0.00706576
2022-09-22 00:00:00+00:00,-0.01608259
2022-09-23 00:00:00+00:00,-0.01068042
2022-09-26 00:00:00+00:00,-0.02223928
2022-09-27 00:00:00+00:00,0.00406007
2022-09-28 00:00:00+00:00,-0.02246214
2022-09-29 00:00:00+00:00,-0.00374520
2022-09-30 00:00:00+00:00,-0.01340652
2022-10-03 00:00:00+00:00,-0.00850024
2022-10-04 00:00:00+00:00,-0.05768799
2022-10-05 00:00:00+00:00,0.04689521
2022-10-06 00:00:00+00:00,0.00986099
2022-10-07 00:00:00+00:00,-0.01752130
2022-10-10 00:00:00+00:00,-0.09060451
2022-10-11 00:00:00+00:00,-0.02781144
2022-10-12 00:00:00+00:00,-0.00492909
2022-10-13 00:00:00+00:00,-0.01660339
2022-10-14 00:00:00+00:00,0.04489375
2022-10-17 00:00:00+00:00,-0.03483533
2022-10-18 00:00:00+00:00,0.01985554
2022-10-19 00:00:00+00:00,-0.02749863
2022-10-20 00:00:00+00:00,-0.00458229
2022-10-21 00:00:00+00:00,0.00231066
2022-10-24 00:00:00+00:00,-0.01510053
2022-10-25 00:00:00+00:00,-0.04197322
2022-10-26 00:00:00+00:00,0.01634850
2022-10-27 00:00:00+00:00,0.03275780
2022-10-28 00:00:00+00:00,-0.01375181
2022-10-31 00:00:00+00:00,0.02111913
2022-11-01 00:00:00+00:00,0.01163670
2022-11-02 00:00:00+00:00,0.00732973
2022-11-03 00:00:00+00:00,-0.02886203
2022-11-04 00:00:00+00:00,0.00190769
2022-11-07 00:00:00+00:00,0.03383638
2022-11-08 00:00:00+00:00,0.02447818
2022-11-09 00:00:00+00:00,0.04710145
2022-11-10 00:00:00+00:00,-0.02077995
