Date,REDWHEAT
2000-01-04 00:00:00+00:00,
2000-01-05 00:00:00+00:00,0.00806501
2000-01-06 00:00:00+00:00,-0.00467072
2000-01-07 00:00:00+00:00,0.00985500
2000-01-10 00:00:00+00:00,0.00705516
2000-01-11 00:00:00+00:00,0.00074727
2000-01-12 00:00:00+00:00,0.02038877
2000-01-13 00:00:00+00:00,0.01472731
2000-01-14 00:00:00+00:00,0.01019899
2000-01-18 00:00:00+00:00,-0.00355852
2000-01-19 00:00:00+00:00,0.00498838
2000-01-20 00:00:00+00:00,-0.00270314
2000-01-21 00:00:00+00:00,0.00070647
2000-01-24 00:00:00+00:00,0.00497168
2000-01-25 00:00:00+00:00,-0.00354559
2000-01-26 00:00:00+00:00,-0.01803784
2000-01-27 00:00:00+00:00,0.00852247
2000-01-28 00:00:00+00:00,-0.01047037
2000-01-31 00:00:00+00:00,-0.01492338
2000-02-01 00:00:00+00:00,0.00513712
2000-02-02 00:00:00+00:00,0.03844399
2000-02-03 00:00:00+00:00,-0.02548951
2000-02-04 00:00:00+00:00,0.02292789
2000-02-07 00:00:00+00:00,0.01336843
2000-02-08 00:00:00+00:00,0.00487268
2000-02-09 00:00:00+00:00,0.03835746
2000-02-10 00:00:00+00:00,0.05246280
2000-02-11 00:00:00+00:00,-0.01619414
2000-02-14 00:00:00+00:00,0.00144626
2000-02-15 00:00:00+00:00,-0.01551833
2000-02-16 00:00:00+00:00,-0.00423549
2000-02-17 00:00:00+00:00,-0.01645737
2000-02-18 00:00:00+00:00,0.00886020
2000-02-22 00:00:00+00:00,-0.00753051
2000-02-23 00:00:00+00:00,-0.04607430
2000-02-24 00:00:00+00:00,-0.00268917
2000-02-25 00:00:00+00:00,-0.05899564
2000-02-28 00:00:00+00:00,-0.02179869
2000-02-29 00:00:00+00:00,0.01554841
2000-03-01 00:00:00+00:00,-0.00103961
2000-03-02 00:00:00+00:00,-0.01058127
2000-03-03 00:00:00+00:00,0.00507237
2000-03-06 00:00:00+00:00,0.01116069
2000-03-07 00:00:00+00:00,-0.00104080
2000-03-08 00:00:00+00:00,0.01459627
2000-03-09 00:00:00+00:00,0.02480524
2000-03-10 00:00:00+00:00,-0.01723918
2000-03-13 00:00:00+00:00,0.00674580
2000-03-14 00:00:00+00:00,0.05214100
2000-03-15 00:00:00+00:00,-0.01020750
2000-03-16 00:00:00+00:00,-0.01278998
2000-03-17 00:00:00+00:00,0.01928366
2000-03-20 00:00:00+00:00,-0.01852407
2000-03-21 00:00:00+00:00,-0.03579886
2000-03-22 00:00:00+00:00,-0.01400431
2000-03-23 00:00:00+00:00,-0.02708489
2000-03-24 00:00:00+00:00,-0.00818799
2000-03-27 00:00:00+00:00,0.00523763
2000-03-28 00:00:00+00:00,-0.01804798
2000-03-29 00:00:00+00:00,0.00530531
2000-03-30 00:00:00+00:00,0.01433414
2000-03-31 00:00:00+00:00,0.02305540
2000-04-03 00:00:00+00:00,-0.00888406
2000-04-04 00:00:00+00:00,0.03065236
2000-04-05 00:00:00+00:00,-0.00272025
2000-04-06 00:00:00+00:00,-0.01044007
2000-04-07 00:00:00+00:00,0.02562019
2000-04-10 00:00:00+00:00,-0.03915738
2000-04-11 00:00:00+00:00,-0.01400237
2000-04-12 00:00:00+00:00,0.02071423
2000-04-13 00:00:00+00:00,0.01617817
2000-04-14 00:00:00+00:00,-0.00955861
2000-04-17 00:00:00+00:00,-0.01134133
2000-04-18 00:00:00+00:00,-0.00190305
2000-04-19 00:00:00+00:00,0.00761252
2000-04-20 00:00:00+00:00,0.00155026
2000-04-24 00:00:00+00:00,0.00154934
2000-04-25 00:00:00+00:00,-0.00189356
2000-04-26 00:00:00+00:00,-0.02857059
2000-04-27 00:00:00+00:00,-0.02981382
2000-04-28 00:00:00+00:00,-0.00194313
2000-05-01 00:00:00+00:00,0.05750174
2000-05-02 00:00:00+00:00,0.00758959
2000-05-03 00:00:00+00:00,0.02308037
2000-05-04 00:00:00+00:00,0.03632738
2000-05-05 00:00:00+00:00,-0.02102754
2000-05-08 00:00:00+00:00,-0.03053319
2000-05-09 00:00:00+00:00,-0.00103772
2000-05-10 00:00:00+00:00,0.04273690
2000-05-11 00:00:00+00:00,0.03931424
2000-05-12 00:00:00+00:00,0.02041152
2000-05-15 00:00:00+00:00,-0.02140549
2000-05-16 00:00:00+00:00,0.00228998
2000-05-17 00:00:00+00:00,-0.02166694
2000-05-18 00:00:00+00:00,-0.03200152
2000-05-19 00:00:00+00:00,0.02694403
2000-05-22 00:00:00+00:00,0.01989228
2000-05-23 00:00:00+00:00,0.00721483
2000-05-24 00:00:00+00:00,-0.00748275
2000-05-25 00:00:00+00:00,0.00803894
2000-05-26 00:00:00+00:00,-0.00178296
2000-05-30 00:00:00+00:00,-0.01562787
2000-05-31 00:00:00+00:00,0.00646482
2000-06-01 00:00:00+00:00,-0.02069704
2000-06-02 00:00:00+00:00,0.00403630
2000-06-05 00:00:00+00:00,0.02072666
2000-06-06 00:00:00+00:00,0.01456828
2000-06-07 00:00:00+00:00,-0.00668508
2000-06-08 00:00:00+00:00,0.01856946
2000-06-09 00:00:00+00:00,0.00466299
2000-06-12 00:00:00+00:00,-0.01627712
2000-06-13 00:00:00+00:00,0.01117953
2000-06-14 00:00:00+00:00,-0.01870666
2000-06-15 00:00:00+00:00,-0.00098783
2000-06-16 00:00:00+00:00,-0.00178721
2000-06-19 00:00:00+00:00,0.03495805
2000-06-20 00:00:00+00:00,0.03588530
2000-06-21 00:00:00+00:00,0.02112043
2000-06-22 00:00:00+00:00,0.00840684
2000-06-23 00:00:00+00:00,-0.02655109
2000-06-26 00:00:00+00:00,0.02419785
2000-06-27 00:00:00+00:00,0.00293450
2000-06-28 00:00:00+00:00,-0.01490163
2000-06-29 00:00:00+00:00,0.00764483
2000-06-30 00:00:00+00:00,-0.06170109
2000-07-03 00:00:00+00:00,-0.08807895
2000-07-05 00:00:00+00:00,0.01326771
2000-07-06 00:00:00+00:00,-0.01857315
2000-07-07 00:00:00+00:00,-0.00017906
2000-07-10 00:00:00+00:00,0.00489940
2000-07-11 00:00:00+00:00,-0.01199507
2000-07-12 00:00:00+00:00,-0.01717474
2000-07-13 00:00:00+00:00,0.02113021
2000-07-14 00:00:00+00:00,-0.03747052
2000-07-17 00:00:00+00:00,-0.03831036
2000-07-18 00:00:00+00:00,-0.02663714
2000-07-19 00:00:00+00:00,0.01146608
2000-07-20 00:00:00+00:00,0.01135238
2000-07-21 00:00:00+00:00,0.00688586
2000-07-24 00:00:00+00:00,-0.01156962
2000-07-25 00:00:00+00:00,-0.00194185
2000-07-26 00:00:00+00:00,-0.00372222
2000-07-27 00:00:00+00:00,0.00607665
2000-07-28 00:00:00+00:00,0.00603845
2000-07-31 00:00:00+00:00,-0.00457279
2000-08-01 00:00:00+00:00,-0.00547835
2000-08-02 00:00:00+00:00,0.00072107
2000-08-03 00:00:00+00:00,-0.01439028
2000-08-04 00:00:00+00:00,-0.00648005
2000-08-07 00:00:00+00:00,-0.01287251
2000-08-08 00:00:00+00:00,0.00810317
2000-08-09 00:00:00+00:00,-0.00472650
2000-08-10 00:00:00+00:00,0.00074714
2000-08-11 00:00:00+00:00,0.00257502
2000-08-14 00:00:00+00:00,0.00804251
2000-08-15 00:00:00+00:00,0.00888033
